city,date,year,month,season,max_temp,min_temp,mean_temp,temperature_category,temp_range,rainfall_mm,is_rainy,daily_duration
Shimla,2024-04-25,2024,4,Spring,21.1,6.7,14.8,Cool,14.400000000000002,0.0,False,47663.29
Shimla,2024-04-26,2024,4,Spring,22.7,8.6,16.1,Cool,14.1,0.7,False,47763.61
Shimla,2024-04-27,2024,4,Spring,16.9,7.7,11.3,Cool,9.2,11.9,True,47863.4
Shimla,2024-04-28,2024,4,Spring,19.9,7.6,14.1,Cool,12.299999999999999,1.1,True,47962.57
Shimla,2024-04-29,2024,4,Spring,16.8,6.1,10.5,Cool,10.700000000000001,5.6,True,48061.05
Shimla,2024-04-30,2024,4,Spring,20.2,5.7,12.9,Cool,14.5,0.0,False,48158.76
Shimla,2024-05-01,2024,5,Spring,16.4,4.9,9.8,Cold,11.499999999999998,0.7,False,48255.6
Shimla,2024-05-02,2024,5,Spring,18.5,4.5,13.8,Cool,14.0,0.0,False,48351.49
Shimla,2024-05-03,2024,5,Spring,21.7,7.1,16.4,Cool,14.6,0.3,False,48446.35
Shimla,2024-05-04,2024,5,Spring,22.5,10.3,17.1,Cool,12.2,0.8,False,48540.07
Shimla,2024-05-05,2024,5,Spring,23.1,9.7,17.4,Cool,13.400000000000002,0.0,False,48632.57
Shimla,2024-05-06,2024,5,Spring,24.3,9.9,17.1,Cool,14.4,3.8,True,48723.77
Shimla,2024-05-07,2024,5,Spring,24.1,10.6,18.1,Cool,13.500000000000002,0.2,False,48813.54
Shimla,2024-05-08,2024,5,Spring,22.7,10.9,18.4,Cool,11.799999999999999,0.0,False,48901.82
Shimla,2024-05-09,2024,5,Spring,21.9,11.4,17.2,Cool,10.499999999999998,1.0,False,48988.49
Shimla,2024-05-10,2024,5,Spring,22.6,12.0,19.3,Cool,10.600000000000001,0.0,False,49073.45
Shimla,2024-05-11,2024,5,Spring,21.4,10.3,15.9,Cool,11.099999999999998,0.7,False,49156.61
Shimla,2024-05-12,2024,5,Spring,20.2,9.9,14.9,Cool,10.299999999999999,3.9,True,49237.99
Shimla,2024-05-13,2024,5,Spring,22.9,9.8,17.4,Cool,13.099999999999998,0.0,False,49318.24
Shimla,2024-05-14,2024,5,Spring,24.2,9.8,18.0,Cool,14.399999999999999,0.0,False,49397.41
Shimla,2024-05-15,2024,5,Spring,25.5,11.4,19.2,Cool,14.1,0.0,False,49475.43
Shimla,2024-05-16,2024,5,Spring,25.8,11.6,20.5,Warm,14.200000000000001,0.0,False,49552.22
Shimla,2024-05-17,2024,5,Spring,26.9,13.3,20.8,Warm,13.599999999999998,0.0,False,49627.71
Shimla,2024-05-18,2024,5,Spring,27.6,13.9,21.7,Warm,13.700000000000001,0.0,False,49701.82
Shimla,2024-05-19,2024,5,Spring,27.7,14.2,22.7,Warm,13.5,0.0,False,49774.46
Shimla,2024-05-20,2024,5,Spring,26.3,14.1,20.6,Warm,12.200000000000001,0.9,False,49845.58
Shimla,2024-05-21,2024,5,Spring,26.6,13.2,20.6,Warm,13.400000000000002,0.0,False,49915.07
Shimla,2024-05-22,2024,5,Spring,25.8,14.0,20.8,Warm,11.8,0.2,False,49982.88
Shimla,2024-05-23,2024,5,Spring,24.9,14.2,19.4,Cool,10.7,2.2,True,50048.89
Shimla,2024-05-24,2024,5,Spring,24.9,13.8,19.9,Cool,11.099999999999998,2.5,True,50113.04
Shimla,2024-05-25,2024,5,Spring,27.3,13.8,21.9,Warm,13.5,0.1,False,50175.25
Shimla,2024-05-26,2024,5,Spring,28.7,13.5,23.0,Warm,15.2,0.0,False,50235.43
Shimla,2024-05-27,2024,5,Spring,28.6,14.1,23.0,Warm,14.500000000000002,0.0,False,50293.5
Shimla,2024-05-28,2024,5,Spring,28.5,14.8,22.2,Warm,13.7,0.0,False,50349.36
Shimla,2024-05-29,2024,5,Spring,30.1,14.2,23.3,Warm,15.900000000000002,0.0,False,50402.95
Shimla,2024-05-30,2024,5,Spring,29.8,14.4,22.5,Warm,15.4,0.0,False,50454.16
Shimla,2024-05-31,2024,5,Spring,28.1,14.7,21.8,Warm,13.400000000000002,0.0,False,50502.91
Shimla,2024-06-01,2024,6,Summer,28.9,13.9,21.7,Warm,14.999999999999998,0.0,False,50549.21
Shimla,2024-06-02,2024,6,Summer,25.8,13.7,20.8,Warm,12.100000000000001,0.1,False,50593.43
Shimla,2024-06-03,2024,6,Summer,27.0,14.2,21.8,Warm,12.8,0.1,False,50635.63
Shimla,2024-06-04,2024,6,Summer,26.2,14.8,20.8,Warm,11.399999999999999,0.1,False,50675.75
Shimla,2024-06-05,2024,6,Summer,26.8,13.4,19.6,Cool,13.4,0.9,False,50713.78
Shimla,2024-06-06,2024,6,Summer,24.2,13.2,18.9,Cool,11.0,0.0,False,50749.66
Shimla,2024-06-07,2024,6,Summer,26.2,13.2,20.3,Warm,13.0,0.0,False,50783.36
Shimla,2024-06-08,2024,6,Summer,25.2,13.5,19.7,Cool,11.7,0.0,False,50814.86
Shimla,2024-06-09,2024,6,Summer,26.0,13.3,21.0,Warm,12.7,0.0,False,50844.1
Shimla,2024-06-10,2024,6,Summer,26.8,13.6,21.6,Warm,13.200000000000001,0.0,False,50871.05
Shimla,2024-06-11,2024,6,Summer,27.4,14.5,22.0,Warm,12.899999999999999,0.0,False,50895.7
Shimla,2024-06-12,2024,6,Summer,28.4,15.0,23.1,Warm,13.399999999999999,0.0,False,50917.98
Shimla,2024-06-13,2024,6,Summer,28.8,15.5,23.6,Warm,13.3,0.0,False,50937.89
Shimla,2024-06-14,2024,6,Summer,28.5,16.1,23.5,Warm,12.399999999999999,0.0,False,50955.37
Shimla,2024-06-15,2024,6,Summer,27.9,16.4,23.4,Warm,11.5,0.0,False,50970.41
Shimla,2024-06-16,2024,6,Summer,28.6,18.7,24.4,Warm,9.900000000000002,0.0,False,50982.98
Shimla,2024-06-17,2024,6,Summer,28.9,20.1,25.0,Warm,8.799999999999997,0.0,False,50993.03
Shimla,2024-06-18,2024,6,Summer,28.7,19.1,24.1,Warm,9.599999999999998,0.1,False,51000.54
